hospital,lat,long,year,hour,patients,wait_time,department,doctor_name,available,leave_status,floor,room,beds_available
City Hospital,28.61,77.2,2023,16,53,24,Dental,Dr Singh,Yes,No,1,118,5
Green Valley Hospital,28.7,77.3,2024,16,28,19,Dental,Dr Ali,Yes,No,1,153,6
Green Valley Hospital,28.7,77.3,2022,0,99,50,Emergency,Dr Smith,Yes,No,0,14,1
Metro Hospital,28.65,77.25,2024,7,3,3,Dental,Dr Wong,Yes,No,1,175,7
Metro Hospital,28.65,77.25,2022,0,75,52,Emergency,Dr Smith,Yes,No,0,12,3
Green Valley Hospital,28.7,77.3,2024,9,42,24,Dental,Dr Singh,Yes,No,1,126,3
Green Valley Hospital,28.7,77.3,2022,10,82,45,Cardiology,Dr Gupta,Yes,No,3,389,3
Green Valley Hospital,28.7,77.3,2022,23,1,5,Dental,Dr Ali,Yes,No,1,162,5
City Hospital,28.61,77.2,2022,13,72,49,Dental,Dr Singh,Yes,No,1,165,2
Metro Hospital,28.65,77.25,2024,6,3,2,Cardiology,Dr Gupta,Yes,No,3,351,9
City Hospital,28.61,77.2,2024,14,89,59,Orthopedic,Dr Reddy,Yes,No,2,253,1
Metro Hospital,28.65,77.25,2024,2,0,0,Dental,Dr Wong,Yes,No,1,145,7
Green Valley Hospital,28.7,77.3,2024,19,93,74,Orthopedic,Dr Reddy,No,Yes,2,217,2
Metro Hospital,28.65,77.25,2024,5,8,5,X-ray,Dr Ray,Yes,No,4,480,8
Metro Hospital,28.65,77.25,2024,3,1,1,Dental,Dr Ali,Yes,No,1,197,7
City Hospital,28.61,77.2,2023,12,50,24,X-ray,Dr Das,Yes,No,4,492,4
City Hospital,28.61,77.2,2024,8,38,22,Cardiology,Dr Lee,Yes,No,3,341,8
Green Valley Hospital,28.7,77.3,2023,2,15,7,X-ray,Dr Ray,Yes,No,4,440,5
City Hospital,28.61,77.2,2024,13,92,58,Dental,Dr Ali,Yes,No,1,175,1
Green Valley Hospital,28.7,77.3,2024,4,44,24,Emergency,Dr Allen,Yes,No,0,38,3
Metro Hospital,28.65,77.25,2024,23,43,25,Cardiology,Dr Wright,Yes,No,3,335,7
City Hospital,28.61,77.2,2023,14,66,44,Cardiology,Dr Kim,Yes,No,3,321,2
Metro Hospital,28.65,77.25,2024,17,108,49,Emergency,Dr Allen,Yes,No,0,93,0
Metro Hospital,28.65,77.25,2023,8,66,45,Emergency,Dr Smith,Yes,No,0,56,2
City Hospital,28.61,77.2,2024,22,90,53,Emergency,Dr Doe,Yes,No,0,60,1
Green Valley Hospital,28.7,77.3,2023,20,58,61,X-ray,Dr Das,No,Yes,4,411,5
City Hospital,28.61,77.2,2023,3,7,5,X-ray,Dr Ray,Yes,No,4,432,7
Metro Hospital,28.65,77.25,2023,18,58,26,X-ray,Dr Ray,Yes,No,4,441,3
Metro Hospital,28.65,77.25,2023,11,79,39,Orthopedic,Dr Sharma,Yes,No,2,260,4
City Hospital,28.61,77.2,2022,19,171,95,Emergency,Dr Doe,No,Yes,0,96,0
