hospital,lat,long,year,hour,patients,wait_time,department,doctor_name,available,leave_status,floor,room,beds_available
Green Valley Hospital,28.7,77.3,2022,4,6,6,Orthopedic,Dr Reddy,Yes,No,2,266,9
Green Valley Hospital,28.7,77.3,2023,17,48,65,Orthopedic,Dr Patel,No,Yes,2,285,5
Green Valley Hospital,28.7,77.3,2022,23,51,36,Cardiology,Dr Gupta,Yes,No,3,352,6
Green Valley Hospital,28.7,77.3,2022,6,20,37,X-ray,Dr Ray,No,Yes,4,487,5
Green Valley Hospital,28.7,77.3,2024,17,36,27,Orthopedic,Dr Reddy,Yes,No,2,228,6
Green Valley Hospital,28.7,77.3,2023,6,16,13,X-ray,Dr Ray,Yes,No,4,467,8
Metro Hospital,28.65,77.25,2024,20,95,43,Cardiology,Dr Gupta,Yes,No,3,353,1
City Hospital,28.61,77.2,2023,8,36,21,Cardiology,Dr Kim,Yes,No,3,336,6
City Hospital,28.61,77.2,2022,15,37,21,Cardiology,Dr Lee,Yes,No,3,348,6
Green Valley Hospital,28.7,77.3,2023,22,84,46,Emergency,Dr Khan,Yes,No,0,67,3
Metro Hospital,28.65,77.25,2023,20,80,54,Dental,Dr Wong,Yes,No,1,145,2
City Hospital,28.61,77.2,2024,6,8,6,Orthopedic,Dr Verma,Yes,No,2,247,9
City Hospital,28.61,77.2,2023,7,39,25,X-ray,Dr Ray,Yes,No,4,411,6
Metro Hospital,28.65,77.25,2022,23,45,26,Orthopedic,Dr Sharma,Yes,No,2,224,6
Metro Hospital,28.65,77.25,2023,12,154,98,Emergency,Dr Doe,Yes,No,0,75,0
Green Valley Hospital,28.7,77.3,2022,16,38,23,Orthopedic,Dr Patel,Yes,No,2,273,5
Green Valley Hospital,28.7,77.3,2024,10,92,43,Orthopedic,Dr Sharma,Yes,No,2,218,0
Metro Hospital,28.65,77.25,2022,20,93,55,Orthopedic,Dr Sharma,Yes,No,2,294,0
Green Valley Hospital,28.7,77.3,2024,1,2,3,Cardiology,Dr Lee,Yes,No,3,375,9
City Hospital,28.61,77.2,2023,15,60,66,Emergency,Dr Doe,No,Yes,0,37,5
City Hospital,28.61,77.2,2022,15,101,67,Emergency,Dr Khan,No,Yes,0,75,0
City Hospital,28.61,77.2,2023,21,92,49,Orthopedic,Dr Sharma,Yes,No,2,284,1
Green Valley Hospital,28.7,77.3,2024,7,48,32,Cardiology,Dr Lee,Yes,No,3,336,5
City Hospital,28.61,77.2,2023,21,76,42,Cardiology,Dr Lee,Yes,No,3,354,2
City Hospital,28.61,77.2,2022,19,156,76,Emergency,Dr Smith,Yes,No,0,28,0
Green Valley Hospital,28.7,77.3,2022,21,104,93,Cardiology,Dr Kim,No,Yes,3,340,1
City Hospital,28.61,77.2,2022,19,82,57,Dental,Dr Ali,Yes,No,1,121,3
City Hospital,28.61,77.2,2023,8,29,46,X-ray,Dr Das,No,Yes,4,492,6
Green Valley Hospital,28.7,77.3,2022,22,27,21,X-ray,Dr Das,Yes,No,4,429,7
Green Valley Hospital,28.7,77.3,2023,11,62,42,X-ray,Dr Das,Yes,No,4,496,5
City Hospital,28.61,77.2,2022,2,9,9,X-ray,Dr Ray,Yes,No,4,474,6
City Hospital,28.61,77.2,2024,6,4,3,Cardiology,Dr Wright,Yes,No,3,325,10
Green Valley Hospital,28.7,77.3,2024,4,8,7,Cardiology,Dr Lee,Yes,No,3,395,10
City Hospital,28.61,77.2,2022,23,94,82,Emergency,Dr Doe,No,Yes,0,90,3
Metro Hospital,28.65,77.25,2024,22,36,19,Cardiology,Dr Lee,Yes,No,3,336,4
Green Valley Hospital,28.7,77.3,2023,4,1,28,Dental,Dr Ali,No,Yes,1,168,6
Green Valley Hospital,28.7,77.3,2024,14,122,70,Emergency,Dr Doe,Yes,No,0,59,0
Green Valley Hospital,28.7,77.3,2022,15,34,50,X-ray,Dr Ray,No,Yes,4,447,5
Metro Hospital,28.65,77.25,2024,4,10,11,X-ray,Dr Das,Yes,No,4,489,5
Green Valley Hospital,28.7,77.3,2022,0,46,22,Orthopedic,Dr Reddy,Yes,No,2,218,5
Metro Hospital,28.65,77.25,2022,7,97,44,Emergency,Dr Allen,Yes,No,0,67,3
Metro Hospital,28.65,77.25,2023,2,10,7,Orthopedic,Dr Patel,Yes,No,2,256,9
City Hospital,28.61,77.2,2022,9,39,24,X-ray,Dr Ray,Yes,No,4,446,5
Green Valley Hospital,28.7,77.3,2024,15,36,17,Dental,Dr Wong,Yes,No,1,123,7
Green Valley Hospital,28.7,77.3,2023,22,39,24,X-ray,Dr Das,Yes,No,4,456,7
Metro Hospital,28.65,77.25,2023,3,19,14,X-ray,Dr Das,Yes,No,4,412,6
City Hospital,28.61,77.2,2024,20,84,81,Cardiology,Dr Kim,No,Yes,3,386,1
City Hospital,28.61,77.2,2022,19,81,37,Orthopedic,Dr Verma,Yes,No,2,239,3
City Hospital,28.61,77.2,2024,8,49,34,Cardiology,Dr Wright,Yes,No,3,364,3
Metro Hospital,28.65,77.25,2022,3,3,7,Dental,Dr Singh,Yes,No,1,168,7
Metro Hospital,28.65,77.25,2023,2,33,26,Emergency,Dr Khan,Yes,No,0,38,4
City Hospital,28.61,77.2,2024,15,25,14,Orthopedic,Dr Verma,Yes,No,2,228,5
Green Valley Hospital,28.7,77.3,2024,8,101,48,Emergency,Dr Doe,Yes,No,0,17,0
City Hospital,28.61,77.2,2023,8,37,26,Orthopedic,Dr Patel,Yes,No,2,281,5
Metro Hospital,28.65,77.25,2022,10,55,24,X-ray,Dr Ray,Yes,No,4,489,5
Green Valley Hospital,28.7,77.3,2023,0,29,22,Orthopedic,Dr Patel,Yes,No,2,284,7
Metro Hospital,28.65,77.25,2023,6,4,7,Orthopedic,Dr Sharma,Yes,No,2,296,5
Metro Hospital,28.65,77.25,2023,7,44,26,Cardiology,Dr Gupta,Yes,No,3,384,7
Metro Hospital,28.65,77.25,2024,15,27,19,Dental,Dr Singh,Yes,No,1,150,6
Metro Hospital,28.65,77.25,2023,17,24,34,X-ray,Dr Das,No,Yes,4,469,4
Green Valley Hospital,28.7,77.3,2023,15,25,11,X-ray,Dr Das,Yes,No,4,469,6
City Hospital,28.61,77.2,2022,0,87,70,Emergency,Dr Khan,No,Yes,0,99,3
Green Valley Hospital,28.7,77.3,2024,9,35,50,Dental,Dr Ali,No,Yes,1,127,4
City Hospital,28.61,77.2,2022,3,46,62,Emergency,Dr Khan,No,Yes,0,18,2
Green Valley Hospital,28.7,77.3,2023,16,34,15,X-ray,Dr Das,Yes,No,4,484,3
Green Valley Hospital,28.7,77.3,2022,8,39,25,X-ray,Dr Das,Yes,No,4,479,6
Green Valley Hospital,28.7,77.3,2024,13,85,48,Orthopedic,Dr Reddy,Yes,No,2,242,3
Green Valley Hospital,28.7,77.3,2022,16,50,57,Cardiology,Dr Lee,No,Yes,3,371,3
City Hospital,28.61,77.2,2022,13,138,82,Emergency,Dr Khan,Yes,No,0,26,0
City Hospital,28.61,77.2,2022,21,69,30,X-ray,Dr Ray,Yes,No,4,467,2
City Hospital,28.61,77.2,2024,9,42,30,Cardiology,Dr Kim,Yes,No,3,349,6
City Hospital,28.61,77.2,2022,22,2,4,Dental,Dr Wong,Yes,No,1,177,6
Green Valley Hospital,28.7,77.3,2023,13,64,29,Dental,Dr Ali,Yes,No,1,186,2
Metro Hospital,28.65,77.25,2023,20,64,75,X-ray,Dr Ray,No,Yes,4,455,5
Metro Hospital,28.65,77.25,2024,20,61,29,X-ray,Dr Ray,Yes,No,4,425,2
City Hospital,28.61,77.2,2022,12,67,47,Orthopedic,Dr Sharma,Yes,No,2,276,3
Metro Hospital,28.65,77.25,2023,9,70,65,Emergency,Dr Doe,No,Yes,0,38,1
Green Valley Hospital,28.7,77.3,2023,6,12,7,X-ray,Dr Ray,Yes,No,4,449,7
City Hospital,28.61,77.2,2023,14,69,64,Cardiology,Dr Lee,No,Yes,3,381,1
Green Valley Hospital,28.7,77.3,2022,10,81,53,Cardiology,Dr Lee,Yes,No,3,372,3
Green Valley Hospital,28.7,77.3,2023,0,0,0,Dental,Dr Singh,Yes,No,1,160,9
City Hospital,28.61,77.2,2024,18,102,54,Dental,Dr Wong,Yes,No,1,136,0
Green Valley Hospital,28.7,77.3,2024,2,45,31,Emergency,Dr Allen,Yes,No,0,85,5
Metro Hospital,28.65,77.25,2022,4,3,6,Orthopedic,Dr Patel,Yes,No,2,293,8
City Hospital,28.61,77.2,2024,1,14,10,X-ray,Dr Ray,Yes,No,4,457,8
Green Valley Hospital,28.7,77.3,2022,11,77,41,Cardiology,Dr Lee,Yes,No,3,359,3
City Hospital,28.61,77.2,2023,0,31,22,Orthopedic,Dr Patel,Yes,No,2,255,5
City Hospital,28.61,77.2,2024,4,1,4,Dental,Dr Singh,Yes,No,1,168,7
Metro Hospital,28.65,77.25,2024,18,52,69,X-ray,Dr Das,No,Yes,4,440,3
City Hospital,28.61,77.2,2023,1,4,6,Orthopedic,Dr Reddy,Yes,No,2,241,9
Green Valley Hospital,28.7,77.3,2024,20,70,32,X-ray,Dr Das,Yes,No,4,424,1
City Hospital,28.61,77.2,2022,14,72,60,Dental,Dr Wong,No,Yes,1,133,3
City Hospital,28.61,77.2,2024,13,167,75,Emergency,Dr Khan,Yes,No,0,18,0
Metro Hospital,28.65,77.25,2024,0,85,47,Emergency,Dr Khan,Yes,No,0,50,2
Green Valley Hospital,28.7,77.3,2023,0,30,20,Orthopedic,Dr Reddy,Yes,No,2,245,4
Metro Hospital,28.65,77.25,2024,20,168,79,Emergency,Dr Allen,Yes,No,0,66,0
Green Valley Hospital,28.7,77.3,2022,3,12,13,X-ray,Dr Ray,Yes,No,4,455,9
Green Valley Hospital,28.7,77.3,2022,6,2,4,Dental,Dr Wong,Yes,No,1,190,10
City Hospital,28.61,77.2,2022,14,84,56,Orthopedic,Dr Sharma,Yes,No,2,244,2
Green Valley Hospital,28.7,77.3,2023,17,32,20,Dental,Dr Singh,Yes,No,1,186,4
Metro Hospital,28.65,77.25,2022,3,38,22,Emergency,Dr Doe,Yes,No,0,30,6
Green Valley Hospital,28.7,77.3,2023,20,138,63,Emergency,Dr Doe,Yes,No,0,29,0
City Hospital,28.61,77.2,2022,17,30,25,Orthopedic,Dr Patel,Yes,No,2,257,6
Green Valley Hospital,28.7,77.3,2022,23,91,45,Emergency,Dr Doe,Yes,No,0,65,3
Green Valley Hospital,28.7,77.3,2023,3,4,2,Cardiology,Dr Gupta,Yes,No,3,325,6
Green Valley Hospital,28.7,77.3,2024,19,73,31,X-ray,Dr Ray,Yes,No,4,418,2
Green Valley Hospital,28.7,77.3,2023,6,9,11,Orthopedic,Dr Reddy,Yes,No,2,232,7
City Hospital,28.61,77.2,2023,17,44,31,Orthopedic,Dr Verma,Yes,No,2,286,5
Metro Hospital,28.65,77.25,2023,17,54,35,Dental,Dr Singh,Yes,No,1,126,2
Green Valley Hospital,28.7,77.3,2023,16,51,28,Dental,Dr Singh,Yes,No,1,145,3
City Hospital,28.61,77.2,2024,1,8,6,Orthopedic,Dr Sharma,Yes,No,2,224,10
City Hospital,28.61,77.2,2024,19,84,45,Cardiology,Dr Lee,Yes,No,3,340,3
Metro Hospital,28.65,77.25,2024,0,36,50,X-ray,Dr Ray,No,Yes,4,437,4
City Hospital,28.61,77.2,2023,22,79,89,Emergency,Dr Khan,No,Yes,0,15,3
Green Valley Hospital,28.7,77.3,2024,9,36,21,Orthopedic,Dr Sharma,Yes,No,2,246,4
Green Valley Hospital,28.7,77.3,2023,10,165,108,Emergency,Dr Smith,Yes,No,0,44,0
Green Valley Hospital,28.7,77.3,2024,14,84,60,Cardiology,Dr Lee,Yes,No,3,393,1
Metro Hospital,28.65,77.25,2022,19,92,64,Dental,Dr Ali,Yes,No,1,113,2
City Hospital,28.61,77.2,2022,4,0,0,Dental,Dr Singh,No,Yes,1,128,6
Green Valley Hospital,28.7,77.3,2024,0,63,36,Emergency,Dr Doe,Yes,No,0,83,4
Metro Hospital,28.65,77.25,2024,7,40,24,X-ray,Dr Ray,Yes,No,4,426,5
City Hospital,28.61,77.2,2022,17,99,61,Emergency,Dr Smith,Yes,No,0,95,1
Metro Hospital,28.65,77.25,2023,5,6,8,Cardiology,Dr Wright,Yes,No,3,351,8
Green Valley Hospital,28.7,77.3,2023,19,87,59,Dental,Dr Singh,Yes,No,1,187,1
Metro Hospital,28.65,77.25,2022,13,150,107,Emergency,Dr Allen,Yes,No,0,31,0
City Hospital,28.61,77.2,2023,6,11,7,Cardiology,Dr Kim,Yes,No,3,351,10
City Hospital,28.61,77.2,2023,7,1,4,Dental,Dr Ali,Yes,No,1,186,8
City Hospital,28.61,77.2,2022,15,71,80,Emergency,Dr Khan,No,Yes,0,30,3
City Hospital,28.61,77.2,2024,6,3,34,Dental,Dr Ali,No,Yes,1,135,9
Green Valley Hospital,28.7,77.3,2023,14,63,38,X-ray,Dr Das,Yes,No,4,434,3
Green Valley Hospital,28.7,77.3,2024,13,64,46,Cardiology,Dr Gupta,Yes,No,3,328,3
Green Valley Hospital,28.7,77.3,2022,5,9,8,Cardiology,Dr Lee,Yes,No,3,332,5
Metro Hospital,28.65,77.25,2024,15,26,13,Cardiology,Dr Lee,Yes,No,3,338,8
City Hospital,28.61,77.2,2024,16,24,39,X-ray,Dr Das,No,Yes,4,450,9
Metro Hospital,28.65,77.25,2022,11,84,74,Dental,Dr Singh,No,Yes,1,140,1
Metro Hospital,28.65,77.25,2024,14,84,36,Dental,Dr Ali,Yes,No,1,153,1
Metro Hospital,28.65,77.25,2023,1,22,18,Emergency,Dr Allen,Yes,No,0,72,5
City Hospital,28.61,77.2,2023,8,25,15,Orthopedic,Dr Reddy,Yes,No,2,277,5
Green Valley Hospital,28.7,77.3,2023,23,97,46,Emergency,Dr Khan,Yes,No,0,88,2
Green Valley Hospital,28.7,77.3,2024,14,64,30,X-ray,Dr Das,Yes,No,4,450,4
Metro Hospital,28.65,77.25,2024,21,184,87,Emergency,Dr Khan,Yes,No,0,74,0
Green Valley Hospital,28.7,77.3,2024,20,73,38,Dental,Dr Wong,Yes,No,1,196,3
City Hospital,28.61,77.2,2023,11,59,29,X-ray,Dr Das,Yes,No,4,435,2
Green Valley Hospital,28.7,77.3,2024,10,66,33,Cardiology,Dr Gupta,Yes,No,3,317,4
City Hospital,28.61,77.2,2022,13,63,27,Cardiology,Dr Wright,Yes,No,3,352,4
Metro Hospital,28.65,77.25,2022,8,30,18,X-ray,Dr Ray,Yes,No,4,439,5
City Hospital,28.61,77.2,2022,1,37,49,Emergency,Dr Doe,No,Yes,0,41,5
City Hospital,28.61,77.2,2024,9,63,42,Emergency,Dr Smith,Yes,No,0,15,4
Metro Hospital,28.65,77.25,2022,17,69,48,Emergency,Dr Allen,Yes,No,0,11,3
Green Valley Hospital,28.7,77.3,2023,10,86,84,Cardiology,Dr Kim,No,Yes,3,329,3
City Hospital,28.61,77.2,2022,23,80,39,Emergency,Dr Allen,Yes,No,0,69,3
City Hospital,28.61,77.2,2023,21,3,5,Dental,Dr Wong,Yes,No,1,185,8
City Hospital,28.61,77.2,2023,17,38,28,Orthopedic,Dr Patel,Yes,No,2,264,5
Metro Hospital,28.65,77.25,2022,6,13,10,X-ray,Dr Ray,Yes,No,4,495,7
City Hospital,28.61,77.2,2022,23,33,49,X-ray,Dr Ray,No,Yes,4,417,5
City Hospital,28.61,77.2,2022,19,71,41,Cardiology,Dr Kim,Yes,No,3,359,4
Metro Hospital,28.65,77.25,2022,3,3,5,Orthopedic,Dr Patel,Yes,No,2,258,6
Metro Hospital,28.65,77.25,2022,10,69,38,Cardiology,Dr Lee,Yes,No,3,321,2
Metro Hospital,28.65,77.25,2024,5,3,3,Orthopedic,Dr Patel,Yes,No,2,256,9
Green Valley Hospital,28.7,77.3,2022,11,85,77,Dental,Dr Wong,No,Yes,1,112,1
Green Valley Hospital,28.7,77.3,2022,21,55,34,X-ray,Dr Das,Yes,No,4,471,6
Green Valley Hospital,28.7,77.3,2022,1,5,4,Cardiology,Dr Wright,Yes,No,3,310,9
City Hospital,28.61,77.2,2024,10,62,29,Orthopedic,Dr Reddy,Yes,No,2,274,4
City Hospital,28.61,77.2,2022,10,88,38,Orthopedic,Dr Patel,Yes,No,2,269,2
Green Valley Hospital,28.7,77.3,2022,5,40,64,Emergency,Dr Khan,No,Yes,0,61,5
Green Valley Hospital,28.7,77.3,2024,8,86,42,Emergency,Dr Doe,Yes,No,0,34,2
Green Valley Hospital,28.7,77.3,2024,1,20,12,X-ray,Dr Das,Yes,No,4,414,8
Metro Hospital,28.65,77.25,2024,17,32,18,Cardiology,Dr Lee,Yes,No,3,360,8
City Hospital,28.61,77.2,2022,5,24,18,Emergency,Dr Doe,Yes,No,0,67,5
City Hospital,28.61,77.2,2022,0,41,29,Orthopedic,Dr Verma,Yes,No,2,245,7
Green Valley Hospital,28.7,77.3,2022,7,39,19,X-ray,Dr Das,Yes,No,4,430,6
City Hospital,28.61,77.2,2024,12,60,31,Orthopedic,Dr Sharma,Yes,No,2,231,5
City Hospital,28.61,77.2,2023,2,11,7,X-ray,Dr Das,Yes,No,4,487,6
Metro Hospital,28.65,77.25,2024,3,7,31,Cardiology,Dr Wright,No,Yes,3,355,6
Metro Hospital,28.65,77.25,2023,23,1,2,Dental,Dr Wong,Yes,No,1,176,7
City Hospital,28.61,77.2,2022,11,156,97,Emergency,Dr Smith,Yes,No,0,83,0
City Hospital,28.61,77.2,2023,0,36,17,X-ray,Dr Das,Yes,No,4,421,6
Metro Hospital,28.65,77.25,2022,22,1,2,Dental,Dr Wong,Yes,No,1,161,5
Metro Hospital,28.65,77.25,2024,9,32,17,X-ray,Dr Ray,Yes,No,4,462,6
Metro Hospital,28.65,77.25,2022,0,3,5,Dental,Dr Ali,Yes,No,1,113,8
Metro Hospital,28.65,77.25,2024,14,65,43,Orthopedic,Dr Reddy,Yes,No,2,280,4
Green Valley Hospital,28.7,77.3,2022,20,104,83,Dental,Dr Wong,No,Yes,1,164,0
Green Valley Hospital,28.7,77.3,2024,20,149,80,Emergency,Dr Allen,Yes,No,0,82,0
Green Valley Hospital,28.7,77.3,2023,7,51,21,Cardiology,Dr Lee,Yes,No,3,388,3
City Hospital,28.61,77.2,2022,19,90,70,Cardiology,Dr Lee,No,Yes,3,357,1
Metro Hospital,28.65,77.25,2022,12,55,37,X-ray,Dr Das,Yes,No,4,431,3
Green Valley Hospital,28.7,77.3,2024,23,49,26,Cardiology,Dr Kim,Yes,No,3,340,4
Green Valley Hospital,28.7,77.3,2022,14,141,62,Emergency,Dr Khan,Yes,No,0,24,0
Metro Hospital,28.65,77.25,2023,12,88,45,Cardiology,Dr Gupta,Yes,No,3,388,2
Metro Hospital,28.65,77.25,2023,13,154,71,Emergency,Dr Doe,Yes,No,0,27,0
City Hospital,28.61,77.2,2024,20,156,98,Emergency,Dr Allen,Yes,No,0,24,0
Metro Hospital,28.65,77.25,2023,6,9,4,Orthopedic,Dr Reddy,Yes,No,2,230,7
Metro Hospital,28.65,77.25,2023,4,10,7,Orthopedic,Dr Verma,Yes,No,2,239,5
Metro Hospital,28.65,77.25,2023,2,5,3,Cardiology,Dr Gupta,Yes,No,3,343,9
Green Valley Hospital,28.7,77.3,2024,8,48,31,Cardiology,Dr Kim,Yes,No,3,312,5
